ich	I
Pflaume	the plum
Motorboot	the motorboat
Arbeiterklasse	the working class (no plural)
Altstadt	the old city centre
Gebrauchsanweisung	the instructions for use
Fahrplan	the train or bus schedule
zusammenhängen	to be connected
irisch	Irish (adj.)
hingucken	to look askance
Wiedervereinigung	the (German) reunification (no plural)
Bundesregierung	the federal government
wegräumen	to clear away
anschalten	to switch on
Sonnencreme	the suntan lotion
Schaukelstuhl	the rocking chair
rasseln	to rattle
herausgeben	to give out
Kaffeemaschine	the coffee maker
Kunstgalerie	the art gallery (1)
traditionell	traditional
impfen	to vaccinate
Rückspiegel	the rear-view mirror
Bußgeld	the fine (e.g., for breaching traffic or tax laws)
Dokumentarfilm	the documentary film
Projektor	the projector
langfristig	long-term
brünett	brunette
Sozialarbeiter	the male social worker
Stollen	the stollen (German Christmas cake)
gähnen	to yawn
Merkmal	the feature
Gulden	the guilder (former Dutch currency)
Drogerie	the drugstore
knipsen	to click
protzig	swanky, showy
unvergesslich	unforgettable
Tabelle	the chart, the table
Weltreise	the trip around the world
britisch	British
Nelke	the carnation
Einbahnstraße	the one way street
Korkenzieher	the corkscrew
Kiosk	the kiosk
Redefreiheit	freedom of speech (no plural)
ankündigen	to announce
Dosenöffner	the can opener
Requiem	the requiem
Postleitzahl	the postal code
Luftdruck	the inflation pressure, the air pressure
einwerfen	1. to smash, to throw. 2. to post a letter
rostig	rusty
Leim	the glue
Abfalleimer	the rubbish bin (1)
Rolltreppe	the escalator
Taschenmesser	the pocket knife
zeitlich	temporal, chronological
verweisen	to refer
widerwillig	reluctant
Volleyball	the volleyball
kennzeichnen	1. to mark, to label. 2. to characterise
voraussehen	to foresee, to anticipate
zentral	central
Klausur	the written examination
Backofen	the baking oven
namenlos	nameless
Skilehrer	the ski instructor
durchfallen	to fail (an exam)
Maurer	the mason
orientiert	oriented
derartig	such
krabbeln	to crawl
ergänzen	to complete, to supply
Campingplatz	the campground, the campsite
einundzwanzig	twenty-one
Talkshow	the talk show
zusammenfassen	to summarize
wegsehen	to look away
Tannenbaum	the fir tree
Umleitung	the diversion
anstreben	to aim at
Ikone	the icon
Bescherung	the gift-giving (Christmas)
Einkaufsliste	the shopping list
anspringen	to start a car
Taschenrechner	the calculator
violett	violet
Krippe	the crib
christlich	Christian (adj.)
mitsingen	to sing along
Hagel	the hail (no plural)
Sprechstunde	the office hour
bedürfen	to require, to need
weitgehend	extensive
Surfbrett	the surfboard
argumentieren	to argue
schlürfen	to sip
Anforderung	the requirement, the demand
Schnitzel	the (pork) cutlet, the shredding
Rundfunk	the broadcast (no plural)
Cheddar	the cheddar (no plural)
Empfangsdame	the female receptionist
Sardine	the sardine
essbar	edible
trampen	to hitch-hike (1)
Konsequenz	the consequence
Kartoffelchips	the potato chips (plural only)
hochachtungsvoll	yours truly
Rückfahrt	the return journey
mütterlich	motherly
Meerschweinchen	the guinea pig
mittelgroß	of medium height
Wochentag	the day of the week
kuschelig	cuddly
Grafik	the graphic
Modenschau	the fashion show
Verschmutzung	the pollution
WG	the shared housing (colloquial)
unregelmäßig	irregular
unterstreichen	to underline
Briefmarke	the postage stamp
Heimfahrt	the home jouney
Schlussverkauf	the end of season sale
Sweatshirt	the sweatshirt
Flugnummer	the flight number
Gleichberechtigung	the equal rights (no plural)
auswandern	to emigrate (1)
inbegriffen	included
Idealismus	the idealism (no plural)
Auszug	the excerpt (A-)
möbliert	furnished
aufweisen	exhibit point out point to
pflügen	to plough
Harz	the Harz Mountains (no plural)
Stundenplan	the timetable
Ode	the ode
lebenswichtig	vital
Sozialamt	the welfare office
Einnahme	1. the income. 2. the intake (e.g., medicine)
vorwiegend	mainly (2)
Erfrischung	the refreshments
Reiseziel	the destination
Synonym	the synonym
Turnen	the gymnastics (no plural)
Fußgänger	the pedestrian
beilegen	to enclose
Hausnummer	the house number
Scrabble	the scrabble (no plural)
herausziehen	to pull out
historisch	historical
Leitungswasser	the tap water (no plural)
Pappe	the cardboard
Sitzplatz	the seat (2)
abhaken	to check off
Doppelbett	the double bed
Büstenhalter	the brassi?re
Tischtuch	the tablecloth
tauchen	to dive
eintauchen	to dip
Geographie	the geography (2) (no plural)
galoppieren	to gallop
Komposition	the composition
Igel	the hedgehog
Schimpfwort	the profane word, the profanity
Klarinette	the clarinet
Büfett	the buffet
preiswert	worth the money, good value for money
insofern	insofar
geschmackvoll	tasteful
Akzeptanz	the acceptance
drogensüchtig	drug dependent
Litauen	Lithuania
Hauptbahnhof	the main station
extravagant	extravagrant
Ferienhaus	the summer cottage
Waschsalon	the laundromat
Serbien	Serbia
Zwischenspiel	the interlude
Fernsehprogramm	the TV programme
Osterhase	the Easter Bunny
eisig	icy
Hausarzt	the male family doctor
komfortabel	comfortable (2)
Kognak	the cognac (no plural)
pessimistisch	pessimistic
staatlich	state-run
Fingernagel	the fingernail
Aktienmarkt	the stock market (A-)
Kaffeekanne	the coffee pot
aufschauen	to look up
ausspannen	to relax (1)
Sinfonie	the symphony
Eigentumswohnung	the condominium
kinderlos	childless
Import	the import
Genetik	the genetics (no plural)
unkontrollierbar	uncontrollable
kindlich	childlike
Warteraum	the waiting room
Möbelstück	the piece of furniture
Weinberg	the vineyard
zensiert	1. marked, graded 2. censored
Freundeskreis	the circle of friends
Teelöffel	the teaspoon
Besichtigung	the sightseeing
stinklangweilig	deadly boring
Muttertag	the Mother's Day
regional	regional
Niederschlag	the precipitation
satteln	to saddle
Schwarzwald	the Black Forest (no plural)
Einkaufswagen	the shopping cart
Illustrierte	the magazine (adjectival noun)
jugendlich	youthful
Radfahren	the cycling (no plural)
Trainingsanzug	the tracksuit
suspekt	suspicious
unbewohnbar	uninhabitable
Vatertag	the Father's Day
faulenzen	to laze about
Wohnort	the place of residence
Wettlauf	the running race
Lampenfieber	the stage fright
Tennisplatz	the tennis court
farblos	colourless
Einwanderung	the immigration
Geburtstagskarte	the birthday card
durchlesen	to read through
Leberwurst	the liver sausage
überschwemmen	to flood (2)
Personalausweis	the personal identity
Bügeleisen	the iron (for clothes)
spezifisch	unique
dumpf	dull
Kleidungsstück	the article of clothing
einschränken	to restrict
integrieren	to integrate
Geldschein	the banknote (2)
lauwarm	lukewarm
Zehe	the toe
Föhn	the blow dryer
schwül	humid (2)
Lebensmittelgeschäft	the grocery store
absehen	1. to foresee. 2. to disregard (something). 3. to desist (from something)
hörbar	audible
Bundeskanzler	the Federal Chancellor
Thermosflasche	the thermos
Eisbahn	the ice rink
Schwerpunkt	the main emphasis
verschmutzen	to pollute
Dudelsack	the (set of) bagpipes
Türkin	the female Turk
kulturell	cultural
Wohnhaus	the residential building
tipptopp	tiptop
nachfüllen	to refill
Kochbuch	the cookbook
Tourismus	tourism (no plural)
versalzen	oversalted
europäisch	European (adj.)
Keyboard	the musical keyboard
Nordsee	the North Sea (no plural)
Knödel	the dumpling
Wohnblock	the block of flats
Scheckheft	the cheque book
Kontaktlinse	the contact lense
herfahren	to come here, to drive here
Flugbegleiterin	the female flight attendant
Volksmusik	the folk music
Mietshaus	the apartment building
mütterlicherseits	maternal
Automechaniker	the car mechanic (1)
Sparkasse	the savings bank
Aktiengesellschaft	the corporation
Bücherregal	the bookcase
Botanik	the botany (no plural)
Gemüsehändler	the greengrocer
Relativitätstheorie	the theory of relativity (no plural)
Pressefreiheit	the freedom of the press (no plural)
Prospekt	the leaflet
schleimig	slimy
Raststätte	the rest area
Kroatien	Croatia
bürgerlich	middle-class, bourgeois
Barometer	the barometer
Kunststoff	the plastic
ausländisch	foreign (in the sense of from another country)
Oberschicht	upper-class
Kochin	the female cook
Aula	the school auditorium, the assembly hall
Hauptgericht	the main course
Skandinavien	Scandinavia
Verhütung	the contraception
Klavierkonzert	the piano concerto
Waschpulver	the laundry detergent
Gasherd	the gas oven
ausrüsten	to equip
Methodist	the Methodist person
Rundfahrt	the round trip
Gaststätte	the restaurant (1)
Furche	the furrow
holländisch	Dutch (adj.)
Reklametafel	the billboard
Ministerpräsident	the prime minister
Skilaufen	the skiing (as an activity) (no plural)
Pianistin	the female pianist
Hausaufgabe	the homework assignment
Rechtskurve	the right curve
Touristenattraktion	the tourist attraction
Moskito	the mosquito
Rowdy	the hooligan
Bundesstraße	the interstate road
Rasierapparat	the razor, the shaver
sooft	as often as
Steuerrad	the steering wheel (2)
Ostersonntag	the Easter Sunday
schlaflos	sleepless
Farbfernseher	the colour TV
Mozzarella	the mozzerella (no plural)
silbern	silver (adj.)
Wellensittich	the parakeet
Papagei	the parrot
Kanarienvogel	the canary (bird)
Chronik	the chronicle
Tulpe	the tulip
Lehrplan	the curriculum
Audi	the Audi
individuell	individual
Verkehrsmittel	the public transport
Halsschmerzen	the sore throat (plural only)
Sprudel	the fizzy water
Ansichtskarte	the picture postcard
Zebrastreifen	the zebra crossing, the crosswalk
Festtag	the public holiday (2)
vegetarisch	vegetarian (adj.)
Personalchef	the personnel manager
Briefumschlag	the envelope
mündlich	oral
Philharmonie	the Philharmonic Orchestra
Fotomodell	the photographic model
Etui	the pencil case
gottlos	godless
Diele	1. the floorboard. 2. the hallway
Fremdenführer	the tour guide (person; somewhat outdated term)
Tausendfüßler	the millipede
jahrein	year in, year out
Sozialfall	the welfare case
Kork	the cork
Walkman	the walkman
Aufheiterung	the bright period
Sozialkunde	the social studies (plural only)
rosarot	pink-red
herunterfallen	to fall down (1)
Sparkonto	the savings account
uneben	uneven
euphorisch	euphoric
Brezel	the pretzel
Staatskasse	the state treasury
Taschenbuch	the paperback
seidig	silky
Stadtplan	the map of the city or town
würzig	spicy
Richtigkeit	the correctness
modisch	fashionable
Kinderlähmung	the polio (no plural)
begrenzen	to limit
Mehrzahl	the majority (no plural)
Blaskapelle	the brass band
magersüchtig	anorexic
büffeln	to bone up on
Spülbecken	the sink
Schopf	the tuft of hair, the top, the crest
Musikerin	the female musician
Computerspiel	the computer game
Bildhauerei	the sculpture (as in the art form, not the art works)
Henkel	the handle
Tschechien	Czech Republic
fieberhaft	feverishly
Blindenhund	the guide dog
Vorfahr	the ancestor
Mandarine	the mandarin orange
lockig	curly
Kinderabteilung	the children's department
Teekanne	the teapot
Gesellschafter	the business partner, the shareholder
schmatzen	to munch
Austauschschüler	the exchange student
Wochenendhaus	the cottage, holiday house
Zoologie	the zoology (no plural)
Bahnübergang	the railroad crossing
Weihnachtsgans	the Christmas goose
Vanilleeis	the vanilla ice cream (no plural)
lieblos	loveless
Zwischenprüfung	the exam after two years of university
Gourmet	the gourmet
verschwenderisch	wasteful
ökonomisch	economic
Fahrgeld	the fare
Telefongespräch	the telephone conversation
Mountainbike	the mountain bike
Utopie	the utopia
Schuhmacher	the shoemaker
Niederlande	the Netherlands (plural only)
Mensa	the university cafeteria
mangelhaft	lacking
pflegeleicht	easy to care for
aufstoßen	to belch
Kriterium	the criterion
Slowakei	the Slovakia (no plural)
Hausmann	the househusband
musizieren	to make music
Heizkörper	the radiator
Jogginganzug	the jogging suit
privatisieren	to privatise
Chorprobe	the choir practice
auflisten	to list
abspülen	to wash up (1)
Ballettänzer	the ballet dancer
Urgroßmutter	the great grandmother
Schulbeginn	the beginning of school (no plural)
Wintermantel	the winter coat
Reifenpanne	the flat tyre
wechselhaft	variable
analog	analog
Einkaufstasche	the shopping bag
Bierbauch	the beer belly
Tennisschläger	the tennis racket
Tiefkühltruhe	the freezer
Sciencefiction	the science fiction (no plural)
zusammenrufen	to call together
Dauerwelle	the perm
Ostsee	the Baltic Sea (no plural)
Kochkurs	the cooking course
Berufsschule	the vocational school
Beschränkung	the restrictions
Menschenrecht	the human right
Radfahrer	the cyclist
begießen	to douse, to shower
Banknote	the banknote (1)
hineinfahren	to drive in
Anrichte	the sideboard
einheitlich	common, uniform, consistent
Grundgesetz	the constitution, the basic law
Gardine	the net curtain
Karikatur	the caricature
Glatteis	the sheet ice, black ice, smooth black hair (no plural)
Süßigkeit	the candy
knallrot	beet red, bright red
Schlafraum	the dormitory room
nebelig	foggy
Naturwissenschaft	the natural science
Wintergarten	the conservatory
Videorecorder	the video recorder
trinkbar	drinkable
Vorfahrt	the priority, the right of way
Berufsberatung	the career advice
Tomatensoße	the tomato sauce
Innovation	the innovation (1)
Blumenhändler	the male florist
Knackwurst	the knackwurst
Gärtnerin	the female gardener
Anbieter	the supplier
Seniorenheim	the senior citisens' home
Friseurin	the female hair stylist
Nähmaschine	the sewing machine
Sozialarbeiterin	the female social worker
Stadtrundfahrt	the town or city tour
Brieffreund	the pen pal
Lebkuchen	the gingerbread
Schweinebraten	the pork roast
schneeweiß	snow-white
Backstein	the brick
Einbrecherin	the female burglar
Karfreitag	the Good Friday
Kritikerin	the female critic
Opernsänger	the opera singer
Substantiv	the noun (2)
Reisebegleiter	the travel companion (person)
räumlich	three-dimensional
Oktoberfest	the Octoberfest
Arbeitnehmer	the employee (1)
kariert	chequered, plaid
Sandale	the sandals
Notebook	the notebook (computer)
Reisebus	the tour bus
Gastronomie	the catering (no plural)
Pfingsten	the Pentecost
recyceln	to recycle (1)
Haarbürste	the hairbrush
Kännchen	the little pot
Grenzübergang	the border crossing, the checkpoint
Bodensee	Lake Constance
Eselsbrücke	the mnemonic device
väterlicherseits	paternal
dänisch	Danish (adj.)
Bockwurst	the smoked sausage
australisch	Australian (adj.)
charakterisieren	to characterise (exact cognate with English)
Turnschuh	the gym shoe, the sneaker
Buchenwald	the beech forest
Fußweg	the footpath
windstill	windless, calm
Mofa	the moped
enterben	to disinherit
Mitbringsel	the small gift (for a host)
Waschküche	the laundry room
Auszubildende	the apprentice (1)
Biergarten	the beer garden
erklärbar	explicable
Rentenversicherung	the pension plan
Präsens	the present tense
Teppichboden	the carpeted floor
Haarsträhne	the stand of hair
Kuckucksuhr	the cuckoo clock
Ferienzeit	the holiday time
Ferienjob	the summer job
Tagesmenü	the special of the day
Konzertsaal	the concert hall
Zweisitzer	the two-seater
zahnlos	toothless
Pistazie	the pistachio
Universitätsabschluss	the university degree (2)
Höcker	the hump (of a camel)
exportieren	to export
Hörsaal	the lecture hall
prominent	prominent
überregional	national, nationwide
Arbeitskollege	the colleague from work
lispeln	to lisp
nächst	next
Erzählerin	the female narrator
Erdkunde	the geography (1) (no plural)
Hundehaufen	the dog feces
Neuerung	the innovation (2)
Arbeitsraum	the study (1)
Zeichentrickfilm	the cartoon, the animated film
Spülmittel	the dishwashing liquid
zusammenbinden	to tie together
Informatiker	the computer scientist
Stofftier	the stuffed animal
Modegeschäft	the clothes shop
Radiergummi	the eraser
Geschwindigkeitsbegrenzung	the speed limit
Luftschutzkeller	the air-raid shelter
Auswanderer	the emigrant (1)
Eisenbahnlinie	the railway line
Griechin	the female Greek person
Weinglas	the wine glass
Alltagsleben	the everyday life
Sandburg	the sandcastle
Estland	Estonia
Schnellimbiss	the fast food stand
Reihenhaus	the terraced house
Jogginghose	the jogging pants
Spülmaschine	the dishwasher (2)
Ungleichheit	the inequality
Hauptschule	the junior high school
Immigrant	the immigrant (2)
Verwandtschaft	the relatives (as a group), the kinship
Weihnachtsferien	the Christmas vacation (plural only)
Jugendherberge	the youth hostel
gesamt	whole
Kommilitone	the fellow student (at university) (1)
Döner	the kebab
Schaufensterbummel	the window-shopping
Tagesschau	Germany's oldest news broadcast on Das Erste  (no plural)
empirisch	empirical
Rechtsanwältin	the female lawyer
intolerant	intolerant
Teekessel	the tea kettle
formlos	shapeless
Schuhgeschäft	the shoe store
voraussetzen	to presuppose
Lettland	Latvia
mollig	plump
Filzstift	the felt tip pen
schwarzfahren	to evade fare
Weihnachtsfeiertag	the Christmas Day
Dampflokomotive	the steam engine
veränderlich	changeable
Pflichtfach	the compulsory subject
Schwarzbrot	the rye bread
Studentenausweis	the student ID
vielfältig	Diverse
Regenwetter	the rainy weather (no plural)
kommunistisch	communist (adj.)
Sozialwohnung	the council flat, the subsidized apartment
touristisch	touristic
Komponistin	the female composer
Hockeyschläger	the hockey stick
Märchenstadt	the fairy-tale city
Gastarbeiter	the immigrant worker
Bundesrepublik	the Federal Republic (no plural)
Klassenarbeit	the classwork
Zopf	the braid
jobben	to work (part-time)
hageln	to hail
Fensterladen	the shutter
Schaubild	the diagram, the graph
Klapptisch	the folding table
Knäckebrot	the crispbread
Umland	the surrounding area (no plural)
Damenabteilung	the women's department
Informatik	the I.T., the computer science (no plural)
Freizeitbeschäftigung	the leisure activity
Kreisverkehr	the traffic cirlce (no plural)
Rotzlümmel	the snotty-nosed brat
regnerisch	rainy
wegschwimmen	to swim away
dual	dual
Wasserkocher	the electric kettle
entwerten	to cancel or stamp a ticket
Etagenbett	the bunk bed
Ohrenschmerzen	the earache (plural only)
Wühltisch	the bargain table
wolkenlos	cloudless
Bruttosozialprodukt	the Gross National Product
abbestellen	to cancel an order
Geldtasche	the wallet (2)
Ingenieurin	the female engineer
Buslinie	the bus route
österreichisch	Austrian (adj.)
Liechtenstein	Liechtenstein
Studentenheim	the dormitory or student residence
geographisch	geographic
Hundewetter	the rotten weather (1) (no plural)
Ornament	the ornament
Einzelbett	the single bed
Gulaschsuppe	the goulash soup
Traumberuf	the job of one's dreams
väterlich	fatherly
Semesterferien	the (university) semester break (plural only)
Steppdecke	the comforter, the quilt
Couchtisch	the coffee table
Vanillesoße	the vanilla sauce
Kassenzettel	the sales slip
Pilz	the mushroom
heraufziehen	to pull up
Käsebrötchen	the cheese roll
Präzisionsinstrument	the precision instrument
Mikrobiologie	the microbiology (no plural)
Rotkohl	the red cabbage (no plural)
Nomen	the noun (1)
geometrisch	geometric
Privathaus	the private home
ADAC	Allgemeiner Deutscher Automobilclub
Gesamtschule	the comprehensive school
implodieren	to implode
Pendler	the commuter
schweizerisch	Swiss (adj.)
Kopfsalat	the head of lettuce
Staatsbürgerkunde	the civics (no plural)
Morgentoilette	the morning rituals
Feinkostgeschäft	the fine foods store
glatzköpfig	bald
Radtour	the bicycle trip
Märchenwelt	the fairy-tale world
zurückbezahlen	to pay back (1)
Personenwagen	the private car
schlüpfrig	lewd, slippery
Rhabarber	the rhubarb (no plural)
wolkig	cloudy (2)
Illustration	the illustration
Emigrant	the emigrant (2)
Fabel	the fable
Schulzeugnis	the school report card, school grades card
Mikrowellenherd	the microwave oven
Camembert	the Camembert (cheese) (no plural)
Altpapier	the recycled paper
Zugvogel	the migratory bird
Seniorin	the female senior citisen
Staatschef	the head of state
proklamieren	to proclaim
Junkfood	the junk food (no plural)
undefinierbar	indefinable
Azubi	the (abbr. of Auszubildende)
zusammenwohnen	to live together
überschnappen	to go bonkers, to snap (colloquial)
Platzkarte	the ticket (for a seat)
Sauwetter	the rotten weather (2) (no plural)
Wochenmarkt	the open air market
ehemalig	erstwhile, former
beträufeln	to drizzle (cooking term, e.g., to drizzle lemon juice on a schnitzel)
multikulturell	multicultural
aufrunden	to round up
Gesamtbevölkerung	the total population
haarlos	hairless
Europäerin	the female European
kanadisch	Canadian (adj.)
Kocherei	the cooking (generally used in a negative sense) (no plural)
Erziehungsurlaub	the child-rearing leave
osteuropäisch	Eastern European (adj.)
bayerisch	Bavarian
Doppelhaus	the duplex
Bundesministerium	the federal ministry
beeindruckt	impressed
Tagesjob	the job for a day
Hochschulabschluss	the university degree (1)
Quizsendung	the quiz show
Partnerstadt	the twin city
herunterladen	to download
Farbfoto	the colour photo
Hauptschulabschluss	the junior high school diploma
geschlitzt	slit (adj.)
Wohngemeinschaft	the shared housing (long form)
Hauptverkehrszeit	the rush hour
Deutschstunde	the German class
Sommerschlussverkauf	the end of summer sale
Nachttischlampe	the bedside lamp
wäss(e)rig	watery
Wetterkarte	the weather map
Verkehrszeichen	the road sign
gebührenfrei	without fee (1)
sehenswert	worth seeing
Zahnklinik	the dental clinic
rauswachsen	to grow out
Elektroherd	the electric stove
Küchenbenutzung	the kitchen privileges (no plural)
bedingen	to cause, to determine
Sauerbraten	the marinated roast beef
Beistelltisch	the end table
Bundestag	the German parliament (no plural)
Weinkenner	the wine connoisseur
Esslöffel	the tablespoon
Hauswirtschaftslehre	the home economics
Universitätsstadt	the university town
Vollpension	the full board (no plural)
mitlesen	to read along
Currywurst	the curry sausage
feig	cowardly
Ossi	the East German
Wessi	the West German
Blumenhändlerin	the female florist
preisgünstig	inexpensive
Fußgängerüberweg	the crosswalk (1)
Querflöte	the transverse flute
Sportprogramm	the sports program
Fleischerei	the butcher shop (1)
hügelig	hilly
belgisch	Belgian (adj.)
Kleidergeschäft	the clothing store
Blockflöte	the recorder (musical instrument)
sandig	sandy
Delikatessengeschäft	the delicatessen
Verkehrsamt	the tourist office
klassenlos	classless
Federball	the badminton (no plural)
buschig	bushy
passioniert	passionate
Fotogeschäft	the photo store
Doppelstunde	the double period
israelisch	Israeli (adj.)
Bauchschmerz	the stomachache
mutterlos	motherless
fleischlos	meatless
vaterlos	fatherless
Spielwarengeschäft	the toy store
Ortsname	the place name
Dreiergruppe	the group of three
Peseta	the peseta (former Spanish currency)
einschmieren	to rub in
Kassettenrecorder	the cassette recorder
emigrieren	to emigrate (2)
nieseln	to drizzle (as in a light rain)
Winterschlussverkauf	the winter sale
Softeis	the soft ice cream (no plural)
Bausparvertrag	the home savings plan
Jugendklub	the youth club
Glückwunschkarte	the congratulatory card
Herrenabteilung	the men's department
interkulturell	intercultural
schunkeln	to sway to the music
Sportabteilung	the sporting goods department
Autobahnkreuz	the motorway junction
Informationszeitalter	the Information Age (no plural)
zweisprachig	bilingual
Studienfach	the field of study
Pinakothek	the art gallery (2)
Joghurt	the yogurt
rezeptfrei	prescription-free
Heimtrainer	the exercise bike
Kulturschock	the culture shock (no plural)
unkultiviert	uncultivated
imaginär	imaginary
Blumengeschäft	the flower shop
Goldschmied	the goldsmith
Klappstuhl	the folding chair
verwendbar	usable
Drachme	the drachma (former Greek currency)
Stoffbär	the stuffed toy bear
Schrebergarten	the garden plot
Superlativ	the superlativ
Baustil	the building style
Flötenstunde	the flute lesson
Theaterkarte	the theatre ticket
Tennisschuh	the tennis shoe
Tschüss!	Cheerio!
Überlegung	the thought
Wochenzeitung	the weekly newspaper
Geranie	the geranium
Verflixt!	Darn it!
Hausschuh	the slipper
Rockgruppe	the rock group
Gießkanne	the watering can
Familienname	the surname
Öl	the oil
Mittelklassewagen	the mid-sized car
Märchenkönig	the fairy-tale king
hoffentlich	hopefully
Chanukka	Hanukkah
Parfum	the perfume
Toner	the toner
zurückschmeißen	to throw back
Rheintal	the Rhine valley (no plural)
Lebkuchenherz	the gingerbread heart
zweieinhalb	two and a half
Individualist	the individualist
Pfefferminztee	the peppermint tea (no plural)
Stoppel	the stubble
deutschsprachig	German-speaking
Bürohilfe	the office help (no plural)
Pfui!	Yuck!
Beisel	the pub (Austrian term)
Vorsicht!	Be careful!
EDV-Kenntnisse	the computer experience (plural only)
Baby-Öl	the baby oil
sämtlich	all, altogether
Südpol	the South Pole (no plural)
neuseeländisch	New Zealand (adj.)
Lieferwagen	the delivery van
Weißwurst	the veal sausage
Südseeinsel	the South Sea island
Faschingsdienstag	the Shrove Tuesday, Mardi Gras (term used in southern Germany and Austria)
marktwirtschaftlich	free enterprise (adj.)
Zimmerpflanze	the houseplant
Gesundheit!	Bless you!
Ostermontag	the Easter Monday
Übergang	1. the transition 2. the crossing
Studentenleben	the student life
rezeptpflichtig	prescription (drug) (adj.)
Gitarristin	the female guitarist
wurmig	wormy
Platzreservierung	the seat reservation
vorn(e)	at the front
hinüberspringen	to jump across (away from speaker)
hinunterfallen	to fall down (2)
Bankkaufmann	the bank clerk
Toll!	Great! Cool! (2)
Fahrradverleih	the bike rental
UV-Strahlen	the UV-rays (plural only)
DVD-Laufwerk	the DVD drive
Großherzogtum	the grand duchy
nützlich	useful
stimmt.	That's right.
Bermudashorts	the Bermuda shorts (plural only)
Jobliste	the list of jobs
Ermässigung	the discount
Vollkaskoversicherung	the comprehensive auto insurance
Zusammenschau	the summary
Känguru	the kangaroo
Öffentlichkeit	the public
Softdrink	the soft drink
Sportreportage	the sports report
Weltmeer	the ocean (2)
Klavierlehrer	the piano teacher
Servus!	Hi! Bye! (Austrian, Bavarian)
E-Mail	the email
Sportcoupé	the sport coupe
Geigerin	the female violinist
kontakt-orientiert	contact-oriented
EDV-Fachmann	the data processing specialist
Spielwaren	the toyware (plural only)
Österreicher	the Austrian person
Mensch!	Man!
schwören	to vow
Grußformel	the (manner of) greeting
Luftbrücke	the airlift
Gebirge	the mountain range
Prost!	Cheers!
O-Saft	orange juice (colloquial)
Wirtschaftswunder	the economic miracle
Denkste.	That's what you think. (colloquial)
Kleinbahn	the narrow-gauge railway
Kfz-Mechaniker	the car mechanic (2)
zahllos	countless
Besatzungszone	the occupation zone
Teilzeitarbeit	the part time work
Bademöglichkeit	the swimming facility
weitermachen	to continue, to carry on
Elektroinstallateur	the electrician (2)
Ehemann	the husband
Zweitwagen	the second car
Altersgruppe	the age group
Familienbrunch	the family brunch
Aufenthaltsdauer	the length of stay
sprachlich	linguistic
Börsenbericht	the stock market report
dreisprachig	trilingual
Lastkraftwagen	the truck (full term rare)
Softwareentwickler	the software developer
Rollenbeschreibung	the role description
Rotkäppchen	the Little Red Riding Hood (no plural)
unübersetzbar	untranslatable
Ähnlichkeit	the similarity
Spielwarenfabrik	the toy factory
Ostalgie	nostalgia for the GDR (no plural)
Reformhaus	the health food store
Verzeihung!	Sorry!
Weltfirma	the worldwide company
Studentenchor	the student choir
Willkommen.	Welcome.
Fahrkartenschalter	the booking office, the ticket office
Unterrichtsbuch	the textbook
Quatsch!	Nonsense!
Abwanderung	the migration
Bahnfahrt	the train trip
Motorenkonstrukteur	the engine designer
Flugbegleiter	the male flight attendant
Bundesland	the federal state (especially in Germany and Austria)
Radwanderführer	the cycling tour guidebook
Fahrradweg	the bicycle path
zuschlagen	to slam shut
Präteritum	the simple past tense
neb(e)lig	foggy (colloquial)
Herbergsvater	the male youth hostel warden
E-Mail-Adresse	the email address
Radwanderkarte	the cycling tour map
industrialisiert	industrialised
Violinist	the violinist (2)
Winterjacke	the winter jacket
Fachhochschule	the technical college
waschbar	washable
Hausärztin	the female family doctor
Grüezi!	Hello! (Swiss dialect)
bodenlos	bottomless
Fräulein!	Waitress! (outdated expression)
Überfahrt	the sea crossing
Übernachtung	the overnight stay
hinunterschauen	to look down
wiederverwerten	to recycle (2)
Erbtante	the rich aunt who has no direct heirs
Bergwelt	the mountain region
Todesstreifen	the no man's land
handgestrickt	hand-knit
Überbleibsel	the remnant
anfunkeln	to glare at
Fahrradhelm	the bicycle helmet
Lexikon	the encyclopedia, the dictionary, the thesaurus
damalig	at that time
Fitnessfreak	the fitness freak
T-Shirt	the T-shirt
Realschule	the college track, the secondary technical school
Vokabel	the vocabulary (1)
Reichspräsident	the German president (before WWII)
Fundbüro	the lost property office
Danke.	Thank you.
blitzartig	with lightning speed
Insekt	the insect
mittellang	of medium length
Übung	the exercise, the tutorial
Studentenwerk	the student union
Österreich	Austria
Mitstudent	the fellow student (at university) (2)
Fahrgast	the passenger (1)
Quadratfuß	the square foot (no plural)
Übersetzer	the translator
chemiefrei	chemical-free
übergeschnappt	bonkers, crazy (colloquial)
Neuseeland	New Zealand
knalllaut	very loud
Plastiktasche	the plastic bag
Mist!	Damn!
Fußballspiel	the football game
Pipimädchen	the stupid little girl
Portemonnaie	the money purse
altmodisch	old-fashioned
Geschirrspülmaschine	the dishwasher (1)
Dreivierteljahr	the three-quarter year, nine months
Wohnzimmergarnitur	the living room set
Änderung	the alteration, the modification, the change
CD-ROM-Laufwerk	the CD-ROM drive
Fußgängerzone	the pedestrian zone (not crosswalk)
Auslandsamt	the foreign students office
Nebensatz	the dependent clause
Klatschzeitung	the tabloid
zahnmedizinisch	dental
Lieblings-	favourite-
irgendetwas	something or other
Essen	the meal, food
herüberspringen	to jump across (toward the speaker)
Ganztagsstelle	the full time position
kennenlernen	to get to know
schattig	shady
Herein!	Come in!
Großbuchstabe	the capital letter
